navigation_area,hub_id,label,route,live_count,desktop,mobile
Desktop direct,hub_for_kids,Coloring Pages for Kids,/coloring-pages/for-kids,1335,true,true
Desktop direct,hub_detailed_for_adults,Detailed Coloring Pages for Adults,/coloring-pages/detailed-for-adults,1459,true,true
Subjects,hub_animals,Animals,/coloring-pages/animals,1450,true,true
Subjects,hub_sea_life,Sea Life,/coloring-pages/sea-life,236,true,true
Subjects,hub_dinosaurs,Dinosaurs,/coloring-pages/dinosaurs,189,true,true
Subjects,hub_plants,Plants,/coloring-pages/plants,586,true,true
Subjects,hub_flowers,Flowers,/coloring-pages/flowers,346,true,true
Subjects,hub_food,Food,/coloring-pages/food,261,true,true
Subjects,hub_vehicles,Vehicles,/coloring-pages/vehicles,373,true,true
Subjects,hub_buildings,Buildings,/coloring-pages/buildings,156,true,true
Characters and imagined worlds,hub_fantasy,Fantasy,/coloring-pages/fantasy,1265,true,true
Characters and imagined worlds,hub_fantasy_creatures,Fantasy Creatures,/coloring-pages/fantasy-creatures,531,true,true
Characters and imagined worlds,hub_anime_girls,Anime Girls,/coloring-pages/anime-girls,905,true,true
Characters and imagined worlds,hub_plushies,Plushies,/coloring-pages/plushies,1704,true,true
Styles,hub_mandalas,Mandalas,/coloring-pages/mandalas,23,true,true
Styles,hub_geometric,Geometric,/coloring-pages/geometric,55,true,true
Styles,hub_chibi,Chibi,/coloring-pages/chibi,908,true,true
Styles,hub_kawaii,Kawaii,/coloring-pages/kawaii,88,true,true
Styles,hub_cute,Cute,/coloring-pages/cute,375,true,true
Seasonal,hub_holidays,Holidays,/coloring-pages/holidays,874,true,true
Seasonal,hub_christmas,Christmas,/coloring-pages/christmas,332,true,true
Seasonal,hub_halloween,Halloween,/coloring-pages/halloween,305,true,true
Seasonal,hub_birthday,Birthday,/coloring-pages/birthday,211,true,true
Seasonal,hub_st_patricks_day,St. Patrick's Day,/coloring-pages/st-patricks-day,20,true,true
